,Statement,Response
269,"... growth is unrealistic. And they say -- you talk a lot about growing the energy industry. They say with oil prices as low as they are right now, that's unrealistic, as well. Your response, sir? ","So I just left some high representatives of India. They're growing at 8 percent. China is growing at 7 percent. And that for them is a catastrophically low number. We are growing -- our last report came out -- and it's right around the 1 percent level. And I think it's going down. Last week, as you know, the end of last week, they came out with an anemic jobs report. A terrible jobs report. In fact I said, is that the last jobs report before the election? Because if it is, I should win easily, it was so bad. The report was so bad. Look, our country is stagnant. We've lost our jobs. We've lost our businesses. We're not making things anymore, relatively speaking. Our product is pouring in from China, pouring in from Vietnam, pouring in from all over the world. I've visited so many communities. This has been such an incredible education for me, Chris. I've gotten to know so many -- I've developed so many friends over the last year. And they cry when they see what's happened. I pass factories that were thriving 20, 25 years ago, and because of the bill that her husband signed and she blessed 100 percent, it is just horrible what's happened to these people in these communities. Now, she can say that her husband did well, but, boy, did they suffer as NAFTA kicked in, because it didn't really kick in very much, but it kicked in after they left. Boy, did they suffer. That was one of the worst things that's ever been signed by our country. Now she wants to sign Trans-Pacific Partnership. And she wants it. She lied when she said she didn't call it the gold standard in one of the debates. She totally lied. She did call it the gold standard. And they actually fact checked, and they said I was right. I was so honored. "
270,"I want you to give you a chance to briefly speak to that, and then I want to pivot to one-sixth of the economy... ",And that will be as bad as NAFTA.
271,That's the kind of approach that is just not going to work.,"Well, let me just say -- let me just say. "
272,"Secretary Clinton? Go ahead, Mr. Trump. ","Let me ask a simple question. She's been doing this for 30 years. Why the hell didn't you do it over the last 15, 20 years? "
273,"No, I voted. ","You were very much involved -- excuse me. My turn. You were very much involved in every aspect of this country. Very much. And you do have experience. I say the one thing you have over me is experience, but it's bad experience, because what you've done has turned out badly. For 30 years, you've been in a position to help, and if you say that I use steel or I use something else, I -- make it impossible for me to do that. I wouldn't mind. The problem is, you talk, but you don't get anything done, Hillary. You don't. Just like when you ran the State Department, $6 billion was missing. How do you miss $6 billion? You ran the State Department, $6 billion was either stolen. They don't know. It's gone, $6 billion. If you become president, this country is going to be in some mess. Believe me. "
274,"But I think it's really an important issue. He raised the 30 years of experience, so let me just talk briefly about that. You know, back in the 1970s, I worked for the Children's Defense Fund. And I was taking on discrimination against African-American kids in schools. He was getting sued by the Justice Department for racial discrimination in his apartment buildings. In the 1980s, I was working to reform the schools in Arkansas. He was borrowing $14 million from his father to start his businesses. In the 1990s, I went to Beijing and I said women's rights are human rights. He insulted a former Miss Universe, Alicia Machado, called her an eating machine. ",Give me a break.
275,"And on the day when I was in the Situation Room, monitoring the raid that brought Osama bin Laden to justice, he was hosting the ""Celebrity Apprentice."" So I'm happy to compare my 30 years of experience, what I've done for this country, trying to help in every way I could, especially kids and families get ahead and stay ahead, with your 30 years, and I'll let the American people make that decision. ","Well, I think I did a much better job. I built a massive company, a great company, some of the greatest assets anywhere in the world, worth many, many billions of dollars. I started with a $1 million loan. I agree with that. It's a $1 million loan. But I built a phenomenal company. And if we could run our country the way I've run my company, we would have a country that you would be so proud of. You would even be proud of it. And frankly, when you look at her real record, take a look at Syria. Take a look at the migration. Take a look at Libya. Take a look at Iraq. She gave us ISIS, because her and Obama created this huge vacuum, and a small group came out of that huge vacuum because when -- we should never have been in Iraq, but once we were there, we should have never got out the way they wanted to get out. She gave us ISIS as sure as you are sitting there. And what happened is now ISIS is in 32 countries. And now I listen how she's going to get rid of ISIS. She's going to get rid of nobody. "
276,"All right. We are going to get to foreign hot spots in a few moments, but the next segment is fitness to be president of the United States. Mr. Trump, at the last debate, you said your talk about grabbing women was just that, talk, and that you'd never actually done it. And since then, as we all know, nine women have come forward and have said that you either groped them or kissed them without their consent. Why would so many different women from so many different circumstances over so many different years, why would they all in this last couple of weeks make up -- you deny this -- why would they all make up these stories? Since this is a question for both of you, Secretary Clinton, Mr. Trump says what your husband did and that you defended was even worse. Mr. Trump, you go first. ","Well, first of all, those stories have been largely debunked. Those people -- I don't know those people. I have a feeling how they came. I believe it was her campaign that did it. Just like if you look at what came out today on the clips where I was wondering what happened with my rally in Chicago and other rallies where we had such violence? She's the one and Obama that caused the violence. They hired people -- they paid them $1,500, and they're on tape saying be violent, cause fights, do bad things. I would say the only way -- because those stories are all totally false, I have to say that. And I didn't even apologize to my wife, who's sitting right here, because I didn't do anything. I didn't know any of these -- I didn't see these women. These women -- the woman on the plane, the -- I think they want either fame or her campaign did it. And I think it's her campaign. Because what I saw what they did, which is a criminal act, by the way, where they're telling people to go out and start fist-fights and start violence. And I'll tell you what, in particular in Chicago, people were hurt and people could have been killed in that riot. And that was now all on tape, started by her. I believe, Chris, that she got these people to step forward. If it wasn't, they get their 10 minutes of fame. But they were all totally -- it was all fiction. It was lies, and it was fiction. "
277,"At the last debate, we heard Donald talking about what he did to women. And after that, a number of women have come forward saying that's exactly what he did to them. Now, what was his response? Well, he held a number of big rallies where he said that he could not possibly have done those things to those women because they were not attractive enough for them to be assaulted. ",I did not say that. I did not say that.
278,"Her two minutes -- sir, her two minutes. Her two minutes. ",I did not say that.
279,Mr. Trump...,Nobody has more respect for women than I do. Nobody.
280,(LAUGHTER),Nobody has more respect...
281,"Please, everybody. ","And frankly, those stories have been largely debunked. And I really want to just talk about something slightly different. She mentions this, which is all fiction, all fictionalized, probably or possibly started by her and her very sleazy campaign. But I will tell you what isn't fictionalized are her e-mails, where she destroyed 33,000 e-mails criminally, criminally, after getting a subpoena from the United States Congress. What happened to the FBI, I don't know. We have a great general, four-star general, today you read it in all of the papers, going to potentially serve five years in jail for lying to the FBI. One lie. She's lied hundreds of times to the people, to Congress, and to the FBI. He's going to probably go to jail. This is a four-star general. And she gets away with it, and she can run for the presidency of the United States? That's really what you should be talking about, not fiction, where somebody wants fame or where they come out of her crooked campaign. "
282,"Well, every time Donald is pushed on something which is obviously uncomfortable, like what these women are saying, he immediately goes to denying responsibility. And it's not just about women. He never apologizes or says he's sorry for anything. So we know what he has said and what he's done to women. But he also went after a disabled reporter, mocked and mimicked him on national television. ",Wrong.
283,"He went after Mr. and Mrs. Khan, the parents of a young man who died serving our country, a Gold Star family, because of their religion. He went after John McCain, a prisoner of war, said he prefers ""people who aren't captured."" He went after a federal judge, born in Indiana, but who Donald said couldn't be trusted to try the fraud and racketeering case against Trump University because his parents were Mexican. So it's not one thing. This is a pattern, a pattern of divisiveness, of a very dark and in many ways dangerous vision of our country, where he incites violence, where he applauds people who are pushing and pulling and punching at his rallies. That is not who America is. And I hope that as we move in the last weeks of this campaign, more and more people will understand what's at stake in this election. It really does come down to what kind of country we are going to have. ","So sad when she talks about violence at my rallies, and she caused the violence. It's on tape. "
284,During the last...,"The other things are false, but honestly, I'd love to talk about getting rid of ISIS, and I'd love to talk about other things... "
285,OK.,"... but those other charges, as she knows, are false. "
286,(CROSSTALK),I think that it's been very well...
287,There is a lot of evidence about the very good work...,It's been very well studied.
288,Please let me Mr. Trump speak.,"... and it's a criminal enterprise, and so many people know it. "
289,(CROSSTALK),"It's a criminal enterprise. Saudi Arabia giving $25 million, Qatar, all of these countries. You talk about women and women's rights? So these are people that push gays off business -- off buildings. These are people that kill women and treat women horribly. And yet you take their money. So I'd like to ask you right now, why don't you give back the money that you've taken from certain countries that treat certain groups of people so horribly? Why don't you give back the money? I think it would be a great gesture. Because she takes a tremendous amount of money. And you take a look at the people of Haiti. I was at a little Haiti the other day in Florida. And I want to tell you, they hate the Clintons, because what's happened in Haiti with the Clinton Foundation is a disgrace. And you know it, and they know it, and everybody knows it. "
290,... because it's an important part of the American experience.,They don't want you to help them anymore.
291,(CROSSTALK),"I'd like to mention one thing. Trump Foundation, small foundation. People contribute, I contribute. The money goes 100 percent -- 100 percent goes to different charities, including a lot of military. I don't get anything. I don't buy boats. I don't buy planes. What happens -- the money goes to them. "
292,"Wasn't some of the money used to settle your lawsuits, sir? ","No, it was -- we put up the American flag. And that's it. They put up the American flag. We fought for the right in Palm Beach to put up the American flag. "
293,"Right. But there was a penalty that was imposed by Palm Beach County, and the money came from your foundation... ","There was. There was. And, by the way... "
294,"... instead of Mar-a-Lago or yourself, sir. ","... the money -- the money went to Fisher House, where they build houses -- the money that you're talking about went to Fisher House, where they build houses for veterans and disabled vets. "
295,I want...,"So let me just tell you very quickly, we're entitled because of the laws that people like her passed to take massive amounts of depreciation on other charges, and we do it. And all of her donors -- just about all of them -- I know Buffett took hundreds of millions of dollars, Soros, George Soros, took hundreds of millions of dollars... "
296,We...,Let me just explain.
297,"But, no, we heard this... ",Most of her donors have done the same thing as I do.
298,"Mr. Trump, we -- OK. ",You know what she should have done?
299,"Folks, we heard this... ","And you know, Hillary, what you should have done, you should have changed the law when you were a United States senator... "
300,"Folks, we heard this... ","... because your donors and your special interests are doing the same thing as I do, except even more so. "
301,"Well, you know... ","You should have changed the law. But you won't change the law, because you take in so much money. I mean, I sat in my apartment today on a very beautiful hotel down the street known as Trump... "
302,Made with Chinese steel.,"But I will tell you, I sat thereÉ"
303,(LAUGHTER),"... I sat there watching ad after ad after ad, false ad. All paid for by your friends on Wall Street that gave so much money because they know you're going to protect them. And, frankly, you should have changed the laws. "
304,Mr. Trump...,"If you don't like what I did, you should have changed the laws. "
305,"Mr. Trump, I want to ask you about one last question in this topic. You have been warning at rallies recently that this election is rigged and that Hillary Clinton is in the process of trying to steal it from you. Your running mate, Governor Pence, pledged on Sunday that he and you -- his words -- ""will absolutely accept the result of this election."" Today your daughter, Ivanka, said the same thing. I want to ask you here on the stage tonight: Do you make the same commitment that you will absolutely -- sir, that you will absolutely accept the result of this election? ","I will look at it at the time. I'm not looking at anything now. I'll look at it at the time. What I've seen -- what I've seen is so bad. First of all, the media is so dishonest and so corrupt, and the pile-on is so amazing. The New York Times actually wrote an article about it, but they don't even care. It's so dishonest. And they've poisoned the mind of the voters. But unfortunately for them, I think the voters are seeing through it. I think they're going to see through it. We'll find out on November 8th. But I think they're going to see through it. "
306,"But, sir, there's... ","If you look -- excuse me, Chris -- if you look at your voter rolls, you will see millions of people that are registered to vote -- millions, this isn't coming from me -- this is coming from Pew Report and other places -- millions of people that are registered to vote that shouldn't be registered to vote. So let me just give you one other thing. So I talk about the corrupt media. I talk about the millions of people -- tell you one other thing. She shouldn't be allowed to run. It's crooked -- she's -- she's guilty of a very, very serious crime. She should not be allowed to run. And just in that respect, I say it's rigged, because she should never... "
307,But...,"Chris, she should never have been allowed to run for the presidency based on what she did with e-mails and so many other things. "
308,"But, sir, there is a tradition in this country -- in fact, one of the prides of this country -- is the peaceful transition of power and that no matter how hard-fought a campaign is, that at the end of the campaign that the loser concedes to the winner. Not saying that you're necessarily going to be the loser or the winner, but that the loser concedes to the winner and that the country comes together in part for the good of the country. Are you saying you're not prepared now to commit to that principle? ",What I'm saying is that I will tell you at the time. I'll keep you in suspense. OK?
309,"Well, Chris, let me respond to that, because that's horrifying. You know, every time Donald thinks things are not going in his direction, he claims whatever it is, is rigged against him. The FBI conducted a year-long investigation into my e-mails. They concluded there was no case; he said the FBI was rigged. He lost the Iowa caucus. He lost the Wisconsin primary. He said the Republican primary was rigged against him. Then Trump University gets sued for fraud and racketeering; he claims the court system and the federal judge is rigged against him. There was even a time when he didn't get an Emmy for his TV program three years in a row and he started tweeting that the Emmys were rigged against him. ",Should have gotten it.
310,"... it just shows you're not up to doing the job. And let's -- you know, let's be clear about what he is saying and what that means. He is denigrating -- he's talking down our democracy. And I, for one, am appalled that somebody who is the nominee of one of our two major parties would take that kind of position. ","I think what the FBI did and what the Department of Justice did, including meeting with her husband, the attorney general, in the back of an airplane on the tarmac in Arizona, I think it's disgraceful. I think it's a disgrace. "
311,All right.,I think we've never had a situation so bad in this country.
312,"Mr. Trump, same question. If we are able to push ISIS out of Mosul and out of Iraq, will -- would you be willing to put U.S. troops in there to prevent their return or something else? ","Let me tell you, Mosul is so sad. We had Mosul. But when she left, when she took everybody out, we lost Mosul. Now we're fighting again to get Mosul. The problem with Mosul and what they wanted to do is they wanted to get the leaders of ISIS who they felt were in Mosul. About three months ago, I started reading that they want to get the leaders and they're going to attack Mosul. Whatever happened to the element of surprise, OK? We announce we're going after Mosul. I have been reading about going after Mosul now for about -- how long is it, Hillary, three months? These people have all left. They've all left. The element of surprise. Douglas MacArthur, George Patton spinning in their graves when they see the stupidity of our country. So we're now fighting for Mosul, that we had. All she had to do was stay there, and now we're going in to get it. But you know who the big winner in Mosul is going to be after we eventually get it? And the only reason they did it is because she's running for the office of president and they want to look tough. They want to look good. He violated the red line in the sand, and he made so many mistakes, made all the mistakes. That's why we have the great migration. But she wanted to look good for the election. So they're going in. But who's going to get Mosul, really? We'll take Mosul eventually. But the way -- if you look at what's happening, much tougher than they thought. Much, much tougher. Much more dangerous. Going to be more deaths that they thought. But the leaders that we wanted to get are all gone because they're smart. They say, what do we need this for? So Mosul is going to be a wonderful thing. And Iran should write us a letter of thank you, just like the really stupid -- the stupidest deal of all time, a deal that's going to give Iran absolutely nuclear weapons. Iran should write us yet another letter saying thank you very much, because Iran, as I said many years ago, Iran is taking over Iraq, something they've wanted to do forever, but we've made it so easy for them. So we're now going to take Mosul. And do you know who's going to be the beneficiary? Iran. Oh, yeah, they're making -- I mean, they are outsmarting -- look, you're not there, you might be involved in that decision. But you were there when you took everybody out of Mosul and out of Iraq. You shouldn't have been in Iraq, but you did vote for it. You shouldn't have been in Iraq, but once you were in Iraq, you should have never left the way. "
313,"Sir, your two minutes are up. ","The point is, the big winner is going to be Iran. "
314,"Well, you know, once again, Donald is implying that he didn't support the invasion of Iraq. I said it was a mistake. I've said that years ago. He has consistently denied what is... ",Wrong.
315,... a very clear fact that...,Wrong.
316,"... before the invasion, he supported it. And, you know, I just want everybody to go Google it. Google ""Donald Trump Iraq."" And you will see the dozens of sources which verify that he was for the invasion of Iraq. ",Wrong.
317,"And you can actually hear the audio of him saying that. Now, why does that matter? Well, it matters because he has not told the truth about that position. I guess he believes it makes him look better now to contrast with me because I did vote for it. But what's really important here is to understand all the interplay. Mosul is a Sunni city. Mosul is on the border of Syria. And, yes, we do need to go after Baghdadi, and -- just like we went after bin Laden, while you were doing ""Celebrity Apprentice,"" and we brought him to justice. We need to go after the leadership. But we need to get rid of them, get rid of their fighters. There are an estimated several thousand fighters in Mosul. They've been digging underground. They've been prepared to defend. It's going to be tough fighting. But I think we can take back Mosul, and then we can move on into Syria and take back Raqqa. This is what we have to do. I'm just amazed that he seems to think that the Iraqi government and our allies and everybody else launched the attack on Mosul to help me in this election, but that's how Donald thinks. You know, he always is looking for some conspiracy. ","Chris, we don't gain anything. "
318,(CROSSTALK),Iran is taking over Iraq.
319,(CROSSTALK),Iran is taking over Iraq. We don't gain anything.
320,"This conspiracy theory, which he's been spewing out for quite some time. ",If they did it by surpriseÉ
321,(CROSSTALK),We could have gained if they did it by surprise.
322,"... unfit, and he proves it every time he talks. ","No, you are the one that's unfit. You know, WikiLeaks just actually came out -- John Podesta said some horrible things about you, and, boy, was he right. He said some beauties. And you know, Bernie Sanders, he said you have bad judgment. You do. And if you think that going into Mosul after we let the world know we're going in, and all of the people that we really wanted -- the leaders -- they're all gone. If you think that was good, then you do. Now, John Podesta said you have terrible instincts. Bernie Sanders said you have bad judgment. I agree with both. "
323,"Well, you should ask Bernie Sanders who he's supporting for president. And he has said... ",Which is a big mistake.
324,"Let's turn to Aleppo. Mr. Trump, in the last debate, you were both asked about the situation in the Syrian city of Aleppo. And I want to follow up on that, because you said several things in that debate which were not true, sir. You said that Aleppo has basically fallen. In fact, there -- in fact, there are... ",It's a catastrophe. I mean...
325,"It's a catastrophe, but there... ",... it's a mess.
326,There are a quarter of...,Have you seen it? Have you seen it?
327,Sir...,Have you seen what's happening to Aleppo?
328,"Sir, if I may finish my question... ","OK, so it hasn't fallen. Take a look at it. "
329,"Well, there are a quarter of a million people still living there and being slaughtered. ",That's right. And they are being slaughtered...
330,Yes.,... because of bad decisions.
331,"If I may just finish here, and you also said that -- that Syria and Russia are busy fighting ISIS. In fact, they have been the ones who've been bombing and shelling eastern Aleppo, and they just announced a humanitarian pause, in effect, admitting that they have been bombing and shelling Aleppo. Would you like to clear that up, sir? ","Well, Aleppo is a disaster. It's a humanitarian nightmare. But it has fallen from the -- from any standpoint. I mean, what do you need, a signed document? Take a look at Aleppo. It is so sad when you see what's happened. And a lot of this is because of Hillary Clinton, because what's happened is, by fighting Assad, who turned out to be a lot tougher than she thought, and now she's going to say, oh, he loves Assad, she's -- he's just much tougher and much smarter than her and Obama. And everyone thought he was gone two years ago, three years ago. He -- he aligned with Russia. He now also aligned with Iran, who we made very powerful. We gave them $150 billion back. We give them $1.7 billion in cash. I mean, cash. Bundles of cash as big as this stage. We gave them $1.7 billion. Now they have -- he has aligned with Russia and with Iran. They don't want ISIS, but they have other things, because we're backing -- we're backing rebels. We don't know who the rebels are. We're giving them lots of money, lots of everything. We don't know who the rebels are. And when and if -- and it's not going to happen, because you have Russia and you have Iran now. But if they ever did overthrow Assad, you might end up with -- as bad as Assad is, and he's a bad guy, but you may very well end up with worse than Assad. If she did nothing, we'd be in much better shape. And this is what's caused the great migration, where she's taking in tens of thousands of Syrian refugees, who probably in many cases -- not probably, who are definitely... "
332,Let me...,"... in many cases, ISIS-aligned, and we now have them in our country, and wait until you see -- this is going to be the great Trojan horse. And wait until you see what happens in the coming years. Lots of luck, Hillary. Thanks a lot for doing a great job. "
333,"Folks, I want to get into our final segment. ",But I just have to...
334,Real quick.,"It's so ridiculous what she -- she will defeat ISIS. We should have never let ISIS happen in the first place. And right now, they're in 32 countries. "
335,OK.,"We should have -- wait one second. They had a cease-fire three weeks ago. A cease-fire, the United States, Russia, and Syria. And during the cease-fire, Russia took over vast swatches of land, and then they said we don't want the cease-fire anymore. We are so outplayed on missiles, on cease-fires. They are outplayed. Now, she wasn't there. I assume she had nothing to do with it. But our country is so outplayed by Putin and Assad, and by the way -- and by Iran. Nobody can believe how stupid our leadership is. "
336,"Mr. Trump, Secretary Clinton -- no, we need to move on to our final segment, and that is the national debt, which has not been discussed until tonight. Our national debt, as a share of the economy, our GDP, is now 77 percent. That's the highest since just after World War II. But the nonpartisan Committee for a Responsible Federal Budget says, Secretary Clinton, under your plan, debt would rise to 86 percent of GDP over the next 10 years. Mr. Trump, under your plan, they say it would rise to 105 percent of GDP over the next 10 years. The question is, why are both of you ignoring this problem? Mr. Trump, you go first. ","Well, I say they're wrong, because I'm going to create tremendous jobs. And we're bringing GDP from, really, 1 percent, which is what it is now, and if she got in, it will be less than zero. But we're bringing it from 1 percent up to 4 percent. And I actually think we can go higher than 4 percent. I think you can go to 5 percent or 6 percent. And if we do, you don't have to bother asking your question, because we have a tremendous machine. We will have created a tremendous economic machine once again. To do that, we're taking back jobs. We're not going to let our companies be raided by other countries where we lose all our jobs, we don't make our product anymore. It's very sad. But I'm going to create a -- the kind of a country that we were from the standpoint of industry. We used to be there. We've given it up. We've become very, very sloppy. We've had people that are political hacks making the biggest deals in the world, bigger than companies. You take these big companies, these trade deals are far bigger than these companies, and yet we don't use our great leaders, many of whom back me and many of whom back Hillary, I must say. But we don't use those people. Those are the people -- these are the greatest negotiators in the world. We have the greatest businesspeople in the world. We have to use them to negotiate our trade deals. We use political hacks. We use people that get the position because they gave -- they made a campaign contribution and they're dealing with China and people that are very much smarter than they are. So we have to use our great people. But that being said, we will create an economic machine the likes of which we haven't seen in many decades. And people, Chris, will again go back to work and they'll make a lot of money. And we'll have companies that will grow and expand and start from new. "
337,"Well, first, when I hear Donald talk like that and know that his slogan is ""Make America Great Again,"" I wonder when he thought America was great. And before he rushes and says, ""You know, before you and President Obama were there,"" I think it's important to recognize that he has been criticizing our government for decades. You know, back in 1987, he took out a $100,000 ad in the New York Times, during the time when President Reagan was president, and basically said exactly what he just said now, that we were the laughingstock of the world. He was criticizing President Reagan. This is the way Donald thinks about himself, puts himself into, you know, the middle and says, ""You know, I alone can fix it,"" as he said on the convention stage. But if you look at the debt, which is the issue you asked about, Chris, I pay for everything I'm proposing. I do not add a penny to the national debt. I take that very seriously, because I do think it's one of the issues we've got to come to grips with. So when I talk about how we're going to pay for education, how we're going to invest in infrastructure, how we're going to get the cost of prescription drugs down, and a lot of the other issues that people talk to me about all the time, I've made it very clear we are going where the money is. We are going to ask the wealthy and corporations to pay their fair share. And there is no evidence whatsoever that that will slow down or diminish our growth. In fact, I think just the opposite. We'll have what economists call middle-out growth. We've got to get back to rebuilding the middle class, the families of America. That's where growth will come from. That's why I want to invest in you. I want to invest in your family. And I think that's the smartest way to grow the economy, to make the economy fairer. And we just have a big disagreement about this. It may be because of our experiences. You know, he started off with his dad as a millionaire... ","Yeah, yeah, we've heard -- we've heard this before, Hillary. "
338,I started off with -- my dad was a small-business man.,We've heard this before.
339,Time.,"Thank you, Hillary. Could I just respond? "
340,"Well, no, sir, because we're running out of time... ",Because I did disagree with Ronald Reagan very strongly on trade. I disagreed with him. We should have been much tougher on trade even then. I've been waiting for years. Nobody does it right.
341,OK.,"And frankly, now we're going to do it right. "
342,"All right. The one last area I want to get into with you in this debate is the fact that the biggest driver of our debt is entitlements, which is 60 percent of all federal spending. Now, the Committee for federal -- a Responsible Federal Budget has looked at both of your plans and they say neither of you has a serious plan that is going to solve the fact that Medicare's going to run out of money in the 2020s, Social Security is going to run out of money in the 2030s, and at that time, recipients are going to take huge cuts in their benefits. So, in effect, the final question I want to ask you in this regard is -- and let me start with you, Mr. Trump, would President Trump make a deal to save Medicare and Social Security that included both tax increases and benefit cuts, in effect, a grand bargain on entitlements? ",I'm cutting taxes. We're going to grow the economy. It's going to grow at a record rate of growth.
343,That's not going to help in the entitlements.,"No, it's going to totally help you. And one thing we have to do: Repeal and replace the disaster known as Obamacare. It's destroying our country. It's destroying our businesses, our small business and our big businesses. We have to repeal and replace Obamacare. You take a look at the kind of numbers that that will cost us in the year '17, it is a disaster. If we don't repeal and replace -- now, it's probably going to die of its own weight. But Obamacare has to go. It's -- the premiums are going up 60 percent, 70 percent, 80 percent. Next year they're going to go up over 100 percent. And I'm really glad that the premiums have started -- at least the people see what's happening, because she wants to keep Obamacare and she wants to make it even worse, and it can't get any worse. Bad health care at the most expensive price. We have to repeal and replace Obamacare. "
344,"Well, Chris, I am on record as saying that we need to put more money into the Social Security Trust Fund. That's part of my commitment to raise taxes on the wealthy. My Social Security payroll contribution will go up, as will Donald's, assuming he can't figure out how to get out of it. But what we want to do is to replenish the Social Security Trust Fund... ",Such a nasty woman.
345,"... by making sure that we have sufficient resources, and that will come from either raising the cap and/or finding other ways to get more money into it. I will not cut benefits. I want to enhance benefits for low-income workers and for women who have been disadvantaged by the current Social Security system. But what Donald is proposing with these massive tax cuts will result in a $20 trillion additional national debt. That will have dire consequences for Social Security and Medicare. And I'll say something about the Affordable Care Act, which he wants to repeal. The Affordable Care Act extended the solvency of the Medicare Trust Fund. So if repeals it, our Medicare problem gets worse. What we need to do is go after... ",Your husband disagrees with you.
346,"Secretary Clinton, thank you. Mr. Trump? ","She's raising the money from the people she wants to control. Doesn't work that way. But when I started this campaign, I started it very strongly. It's called ""Make America Great Again."" We're going to make America great. We have a depleted military. It has to be helped, has to be fixed. We have the greatest people on Earth in our military. We don't take care of our veterans. We take care of illegal immigrants, people that come into the country illegally, better than we take care of our vets. That can't happen. Our policemen and women are disrespected. We need law and order, but we need justice, too. Our inner cities are a disaster. You get shot walking to the store. They have no education. They have no jobs. I will do more for African-Americans and Latinos than she can ever do in 10 lifetimes. All she's done is talk to the African-Americans and to the Latinos, but they get the vote, and then they come back, they say, we'll see you in four years. We are going to make America strong again, and we are going to make America great again, and it has to start now. We cannot take four more years of Barack Obama, and that's what you get when you get her. "
